,mgrs_tile_id,granules_in_2020,granules_in_2021,granules_in_2022,granules_in_2023,granules_in_2024,granules_in_2025
0,10TDT,0.0,30.0,24.0,32.0,36.0,15.0
1,11TLH,0.0,0.0,30.0,31.0,37.0,15.0
2,12STA,0.0,0.0,30.0,33.0,34.0,14.0
3,12UUD,0.0,0.0,27.0,30.0,32.0,14.0
4,13RCK,0.0,0.0,31.0,32.0,35.0,15.0
5,13VEC,0.0,30.0,0.0,0.0,0.0,0.0
6,14RNU,0.0,0.0,30.0,31.0,32.0,15.0
7,14SPH,0.0,30.0,28.0,31.0,34.0,16.0
8,16SBF,0.0,0.0,28.0,30.0,34.0,13.0
9,17MPT,0.0,0.0,30.0,31.0,34.0,14.0
10,17SQT,0.0,0.0,29.0,30.0,33.0,14.0
11,17TPG,0.0,0.0,25.0,30.0,31.0,13.0
12,17UPT,0.0,0.0,28.0,30.0,32.0,13.0
13,19NBD,0.0,30.0,23.0,33.0,32.0,14.0
14,19PFK,0.0,30.0,1.0,0.0,10.0,14.0
15,19TBG,0.0,30.0,29.0,32.0,33.0,15.0
16,20HMD,0.0,0.0,30.0,34.0,37.0,14.0
17,20HMJ,0.0,0.0,29.0,31.0,35.0,14.0
18,20JQM,0.0,26.0,29.0,30.0,32.0,13.0
19,20KNG,0.0,30.0,14.0,32.0,29.0,14.0
20,20KPF,0.0,0.0,14.0,33.0,28.0,14.0
21,20LMM,0.0,31.0,29.0,28.0,29.0,12.0
22,20LNJ,0.0,30.0,13.0,26.0,29.0,11.0
23,20LQL,0.0,61.0,29.0,33.0,29.0,13.0
24,20MMA,0.0,0.0,31.0,29.0,27.0,14.0
25,20TLP,0.0,0.0,30.0,32.0,35.0,15.0
26,21HUC,0.0,0.0,28.0,32.0,31.0,13.0
27,21HUU,0.0,0.0,27.0,34.0,33.0,13.0
28,21JTF,0.0,55.0,29.0,30.0,34.0,13.0
29,21JVJ,0.0,29.0,30.0,33.0,35.0,13.0
30,21LWC,0.0,0.0,30.0,32.0,32.0,11.0
31,21MVS,0.0,0.0,31.0,34.0,31.0,13.0
