job_name,zip_url,browse_url,product_request_time,processing_duration,high_confidence_alert_threshold,mgrs_tile_id,post_date_buffer_days,stride_for_norm_param_estimation,n_workers_for_norm_param_estimation,delta_lookback_days_mw,use_date_encoding,model_source,memory_strategy,batch_size_for_norm_param_estimation,post_date,track_number,low_confidence_alert_threshold,n_workers_for_despeckling,device,max_pre_imgs_per_burst_mw,model_compilation
durkee_fire_2024__11TMJ,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/a4771a64-4f2c-4e1d-9e8a-e04ec2c7dccf/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240730T135819Z_20251017T014844Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/a4771a64-4f2c-4e1d-9e8a-e04ec2c7dccf/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240730T135819Z_20251017T014844Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,1008.556,4.5,11TMJ,1,7,4,none,False,transformer_optimized,high,32,2024-07-30,144,2.5,4,best,none,False
durkee_fire_2024__11TMK,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/17813d66-1268-4c28-b91a-b982bb563f16/OPERA_L3_DIST-ALERT-S1_T11TMK_20240909T140624Z_20251017T013950Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/17813d66-1268-4c28-b91a-b982bb563f16/OPERA_L3_DIST-ALERT-S1_T11TMK_20240909T140624Z_20251017T013950Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,500.253,4.5,11TMK,1,7,4,none,False,transformer_optimized,high,32,2024-09-09,42,2.5,4,best,none,False
durkee_fire_2024__11TMJ,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/5ccd816b-9578-48a3-afe6-70b282b6f67f/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240823T135819Z_20251017T015420Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/5ccd816b-9578-48a3-afe6-70b282b6f67f/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240823T135819Z_20251017T015420Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,1468.343,4.5,11TMJ,1,7,4,none,False,transformer_optimized,high,32,2024-08-23,144,2.5,4,best,none,False
durkee_fire_2024__11TMJ,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/d3ecffce-c1ec-4a6d-81b2-0b657f52e73a/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240911T135010Z_20251017T013405Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/d3ecffce-c1ec-4a6d-81b2-0b657f52e73a/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240911T135010Z_20251017T013405Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,651.496,4.5,11TMJ,1,7,4,none,False,transformer_optimized,high,32,2024-09-11,71,2.5,4,best,none,False
durkee_fire_2024__11TMJ,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/f44f87aa-f349-42b7-a797-756a49068f44/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240629T140632Z_20251017T013353Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/f44f87aa-f349-42b7-a797-756a49068f44/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240629T140632Z_20251017T013353Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,667.371,4.5,11TMJ,1,7,4,none,False,transformer_optimized,high,32,2024-06-29,42,2.5,4,best,none,False
durkee_fire_2024__11TMJ,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/40200f30-4470-456c-b159-4d6ec5b388c5/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240711T140632Z_20251017T013234Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/40200f30-4470-456c-b159-4d6ec5b388c5/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240711T140632Z_20251017T013234Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,743.688,4.5,11TMJ,1,7,4,none,False,transformer_optimized,high,32,2024-07-11,42,2.5,4,best,none,False
durkee_fire_2024__11TMK,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/9204b4f7-b52f-41ce-8ab6-7a790b2173fb/OPERA_L3_DIST-ALERT-S1_T11TMK_20240904T135804Z_20251017T014400Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/9204b4f7-b52f-41ce-8ab6-7a790b2173fb/OPERA_L3_DIST-ALERT-S1_T11TMK_20240904T135804Z_20251017T014400Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,1497.572,4.5,11TMK,1,7,4,none,False,transformer_optimized,high,32,2024-09-04,144,2.5,4,best,none,False
durkee_fire_2024__11TMK,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/e1e2089b-b355-40a2-830b-733b01a06b41/OPERA_L3_DIST-ALERT-S1_T11TMK_20240725T134958Z_20251017T012101Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/e1e2089b-b355-40a2-830b-733b01a06b41/OPERA_L3_DIST-ALERT-S1_T11TMK_20240725T134958Z_20251017T012101Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,514.801,4.5,11TMK,1,7,4,none,False,transformer_optimized,high,32,2024-07-25,71,2.5,4,best,none,False
durkee_fire_2024__11TMK,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/a294d60d-32c9-4d04-9ad7-afcaa5459250/OPERA_L3_DIST-ALERT-S1_T11TMK_20240911T015328Z_20251017T011615Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/a294d60d-32c9-4d04-9ad7-afcaa5459250/OPERA_L3_DIST-ALERT-S1_T11TMK_20240911T015328Z_20251017T011615Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,350.013,4.5,11TMK,1,7,4,none,False,transformer_optimized,high,32,2024-09-11,64,2.5,4,best,none,False
durkee_fire_2024__11TMK,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/530abb42-7318-4203-a3a7-6c0ee3cb0c24/OPERA_L3_DIST-ALERT-S1_T11TMK_20240911T134958Z_20251017T011845Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/530abb42-7318-4203-a3a7-6c0ee3cb0c24/OPERA_L3_DIST-ALERT-S1_T11TMK_20240911T134958Z_20251017T011845Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,532.98,4.5,11TMK,1,7,4,none,False,transformer_optimized,high,32,2024-09-11,71,2.5,4,best,none,False
durkee_fire_2024__11TMK,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/1491c9e2-ba6c-41e9-bdfb-ea4a14cf1444/OPERA_L3_DIST-ALERT-S1_T11TMK_20240629T140624Z_20251017T011712Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/1491c9e2-ba6c-41e9-bdfb-ea4a14cf1444/OPERA_L3_DIST-ALERT-S1_T11TMK_20240629T140624Z_20251017T011712Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,532.387,4.5,11TMK,1,7,4,none,False,transformer_optimized,high,32,2024-06-29,42,2.5,4,best,none,False
durkee_fire_2024__11TMJ,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/92f7d745-79d0-4efa-81f0-5ac4183f831e/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240725T135009Z_20251017T010631Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/92f7d745-79d0-4efa-81f0-5ac4183f831e/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240725T135009Z_20251017T010631Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,538.408,4.5,11TMJ,1,7,4,none,False,transformer_optimized,high,32,2024-07-25,71,2.5,4,best,none,False
durkee_fire_2024__11TMJ,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/42cd0398-d094-4165-ac8c-92a0fa989878/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240718T135819Z_20251017T012634Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/42cd0398-d094-4165-ac8c-92a0fa989878/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240718T135819Z_20251017T012634Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,1756.796,4.5,11TMJ,1,7,4,none,False,transformer_optimized,high,32,2024-07-18,144,2.5,4,best,none,False
durkee_fire_2024__11TMJ,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/f7acefe1-61d2-4d38-95ff-1148270942c0/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240820T013653Z_20251017T010151Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/f7acefe1-61d2-4d38-95ff-1148270942c0/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240820T013653Z_20251017T010151Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,603.876,4.5,11TMJ,1,7,4,none,False,transformer_optimized,high,32,2024-08-20,93,2.5,4,best,none,False
durkee_fire_2024__11TMJ,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/a00555ab-c05e-42d9-996a-67e09b4f2e91/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240818T015314Z_20251017T010106Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/a00555ab-c05e-42d9-996a-67e09b4f2e91/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240818T015314Z_20251017T010106Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,678.912,4.5,11TMJ,1,7,4,none,False,transformer_optimized,high,32,2024-08-18,64,2.5,4,best,none,False
durkee_fire_2024__11TMK,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/3d90422b-f032-40cc-9236-6ac724bd30b3/OPERA_L3_DIST-ALERT-S1_T11TMK_20240818T134958Z_20251017T005101Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/3d90422b-f032-40cc-9236-6ac724bd30b3/OPERA_L3_DIST-ALERT-S1_T11TMK_20240818T134958Z_20251017T005101Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,380.318,4.5,11TMK,1,7,4,none,False,transformer_optimized,high,32,2024-08-18,71,2.5,4,best,none,False
durkee_fire_2024__11TMJ,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/2660ee78-e987-4f0f-8e48-ce6e8b3aec81/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240804T140632Z_20251017T005226Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/2660ee78-e987-4f0f-8e48-ce6e8b3aec81/OPERA_L3_DIST-ALERT-S1_T11TMJ_20240804T140632Z_20251017T005226Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,777.158,4.5,11TMJ,1,7,4,none,False,transformer_optimized,high,32,2024-08-04,42,2.5,4,best,none,False
durkee_fire_2024__11TMK,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/e8e648e7-0838-47a0-a649-9d4ba06dd124/OPERA_L3_DIST-ALERT-S1_T11TMK_20240820T013707Z_20251017T003558Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/e8e648e7-0838-47a0-a649-9d4ba06dd124/OPERA_L3_DIST-ALERT-S1_T11TMK_20240820T013707Z_20251017T003558Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,219.488,4.5,11TMK,1,7,4,none,False,transformer_optimized,high,32,2024-08-20,93,2.5,4,best,none,False
durkee_fire_2024__11TMK,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/fc465c62-ddbe-44e0-a0b5-0c4d3285c111/OPERA_L3_DIST-ALERT-S1_T11TMK_20240828T140624Z_20251017T004038Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/fc465c62-ddbe-44e0-a0b5-0c4d3285c111/OPERA_L3_DIST-ALERT-S1_T11TMK_20240828T140624Z_20251017T004038Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,504.68,4.5,11TMK,1,7,4,none,False,transformer_optimized,high,32,2024-08-28,42,2.5,4,best,none,False
durkee_fire_2024__11TMK,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/1de75231-1234-47a4-ab69-2bb76fc53e04/OPERA_L3_DIST-ALERT-S1_T11TMK_20240901T013707Z_20251017T003534Z_S1A_30_v0.1.zip,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/1de75231-1234-47a4-ab69-2bb76fc53e04/OPERA_L3_DIST-ALERT-S1_T11TMK_20240901T013707Z_20251017T003534Z_S1A_30_v0.1.png,2025-10-16T22:25:24+00:00,196.331,4.5,11TMK,1,7,4,none,False,transformer_optimized,high,32,2024-09-01,93,2.5,4,best,none,False
