job_name,zip_url,s3_uri,browse_url,product_request_time,processing_duration,high_confidence_alert_threshold,mgrs_tile_id,post_date_buffer_days,stride_for_norm_param_estimation,n_workers_for_norm_param_estimation,delta_lookback_days_mw,use_date_encoding,model_source,memory_strategy,batch_size_for_norm_param_estimation,model_context_length,post_date,track_number,low_confidence_alert_threshold,n_workers_for_despeckling,device,max_pre_imgs_per_burst_mw,model_compilation
southwest_france_flood_2023__2023-12-14__30TYR__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/7c20c3ad-ae5c-43d1-b9f3-aab43a56e47e/OPERA_L3_DIST-ALERT-S1_T30TYR_20231213T060043Z_20251215T212129Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa7c20c3ad-ae5c-43d1-b9f3-aab43a56e47e/OPERA_L3_DIST-ALERT-S1_T30TYR_20231213T060043Z_20251215T212129Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/7c20c3ad-ae5c-43d1-b9f3-aab43a56e47e/OPERA_L3_DIST-ALERT-S1_T30TYR_20231213T060043Z_20251215T212129Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,645.613,4.5,30TYR,1,23,4,none,False,transformer_v1_32,high,32,20,2023-12-13,110,2.5,4,best,none,False
smokehouse_creek_fire_2024__2024-02-26__14SLE__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/c7d33211-652c-4e2a-b920-6c255bb9802a/OPERA_L3_DIST-ALERT-S1_T14SLE_20240216T124630Z_20251215T212503Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pac7d33211-652c-4e2a-b920-6c255bb9802a/OPERA_L3_DIST-ALERT-S1_T14SLE_20240216T124630Z_20251215T212503Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/c7d33211-652c-4e2a-b920-6c255bb9802a/OPERA_L3_DIST-ALERT-S1_T14SLE_20240216T124630Z_20251215T212503Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,861.907,4.5,14SLE,1,23,4,none,False,transformer_v1_32,high,32,20,2024-02-16,12,2.5,4,best,none,False
smokehouse_creek_fire_2024__2024-02-26__14SKE__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/b9bff71f-d15b-4745-b8db-e8f764667515/OPERA_L3_DIST-ALERT-S1_T14SKE_20240323T124634Z_20251215T212633Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pab9bff71f-d15b-4745-b8db-e8f764667515/OPERA_L3_DIST-ALERT-S1_T14SKE_20240323T124634Z_20251215T212633Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/b9bff71f-d15b-4745-b8db-e8f764667515/OPERA_L3_DIST-ALERT-S1_T14SKE_20240323T124634Z_20251215T212633Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,959.884,4.5,14SKE,1,23,4,none,False,transformer_v1_32,high,32,20,2024-03-23,12,2.5,4,best,none,False
southwest_france_flood_2023__2023-12-14__30TXR__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/ae04aaf2-5780-4f96-a579-36d2b3e217c5/OPERA_L3_DIST-ALERT-S1_T30TXR_20240117T180443Z_20251215T212247Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9paae04aaf2-5780-4f96-a579-36d2b3e217c5/OPERA_L3_DIST-ALERT-S1_T30TXR_20240117T180443Z_20251215T212247Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/ae04aaf2-5780-4f96-a579-36d2b3e217c5/OPERA_L3_DIST-ALERT-S1_T30TXR_20240117T180443Z_20251215T212247Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,715.276,4.5,30TXR,1,23,4,none,False,transformer_v1_32,high,32,20,2024-01-17,103,2.5,4,best,none,False
smokehouse_creek_fire_2024__2024-02-26__14SME__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/c5754aab-5a67-423d-a64b-059b9f019805/OPERA_L3_DIST-ALERT-S1_T14SME_20240204T124630Z_20251215T211503Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pac5754aab-5a67-423d-a64b-059b9f019805/OPERA_L3_DIST-ALERT-S1_T14SME_20240204T124630Z_20251215T211503Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/c5754aab-5a67-423d-a64b-059b9f019805/OPERA_L3_DIST-ALERT-S1_T14SME_20240204T124630Z_20251215T211503Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,257.764,4.5,14SME,1,23,4,none,False,transformer_v1_32,high,32,20,2024-02-04,12,2.5,4,best,none,False
southwest_france_flood_2023__2023-12-14__30TXR__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/de0e9790-7978-490e-aba3-c281e09fac2d/OPERA_L3_DIST-ALERT-S1_T30TXR_20231120T174831Z_20251215T211926Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pade0e9790-7978-490e-aba3-c281e09fac2d/OPERA_L3_DIST-ALERT-S1_T30TXR_20231120T174831Z_20251215T211926Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/de0e9790-7978-490e-aba3-c281e09fac2d/OPERA_L3_DIST-ALERT-S1_T30TXR_20231120T174831Z_20251215T211926Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,548.845,4.5,30TXR,1,23,4,none,False,transformer_v1_32,high,32,20,2023-11-20,132,2.5,4,best,none,False
smokehouse_creek_fire_2024__2024-02-26__14SKE__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/16689b46-5b55-403f-ae93-ddb3302a772d/OPERA_L3_DIST-ALERT-S1_T14SKE_20240416T124635Z_20251215T212130Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa16689b46-5b55-403f-ae93-ddb3302a772d/OPERA_L3_DIST-ALERT-S1_T14SKE_20240416T124635Z_20251215T212130Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/16689b46-5b55-403f-ae93-ddb3302a772d/OPERA_L3_DIST-ALERT-S1_T14SKE_20240416T124635Z_20251215T212130Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,680.235,4.5,14SKE,1,23,4,none,False,transformer_v1_32,high,32,20,2024-04-16,12,2.5,4,best,none,False
southwest_france_flood_2023__2023-12-14__30TYR__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/0ccc99ea-ec81-4bff-9b38-7e61b56d591a/OPERA_L3_DIST-ALERT-S1_T30TYR_20231219T175630Z_20251215T213601Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa0ccc99ea-ec81-4bff-9b38-7e61b56d591a/OPERA_L3_DIST-ALERT-S1_T30TYR_20231219T175630Z_20251215T213601Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/0ccc99ea-ec81-4bff-9b38-7e61b56d591a/OPERA_L3_DIST-ALERT-S1_T30TYR_20231219T175630Z_20251215T213601Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,1553.887,4.5,30TYR,1,23,4,none,False,transformer_v1_32,high,32,20,2023-12-19,30,2.5,4,best,none,False
monkey_creek_fire_2024__2024-07-18__11TLK__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/488779e9-23a6-48f7-8fb9-3b3542af020d/OPERA_L3_DIST-ALERT-S1_T11TLK_20240828T140624Z_20251215T212449Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa488779e9-23a6-48f7-8fb9-3b3542af020d/OPERA_L3_DIST-ALERT-S1_T11TLK_20240828T140624Z_20251215T212449Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/488779e9-23a6-48f7-8fb9-3b3542af020d/OPERA_L3_DIST-ALERT-S1_T11TLK_20240828T140624Z_20251215T212449Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,884.617,4.5,11TLK,1,23,4,none,False,transformer_v1_32,high,32,20,2024-08-28,42,2.5,4,best,none,False
southwest_france_flood_2023__2023-12-14__30TXR__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/a1a97032-00d9-4f45-8748-5aa76d13ace3/OPERA_L3_DIST-ALERT-S1_T30TXR_20240111T060851Z_20251215T213251Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9paa1a97032-00d9-4f45-8748-5aa76d13ace3/OPERA_L3_DIST-ALERT-S1_T30TXR_20240111T060851Z_20251215T213251Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/a1a97032-00d9-4f45-8748-5aa76d13ace3/OPERA_L3_DIST-ALERT-S1_T30TXR_20240111T060851Z_20251215T213251Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,1391.405,4.5,30TXR,1,23,4,none,False,transformer_v1_32,high,32,20,2024-01-11,8,2.5,4,best,none,False
