ID,Stratum,Long,Lat,zone,x,y,pixel,line,centxUTM,centyUTM,MGRS
1,4,-52.3797917102057,-23.2971467994267,22,358898.815566967,-2577086.48704276,5297,395902,358905,-2577075,22KCV
2,3,129.850327595496,-29.5772398794719,52,582359.070537228,-3272243.28094502,12745,382408,582345,-3272235,52JEN
3,6,-98.6005586859852,33.7710037768831,14,536986.343666376,3736837.47098816,11233,178772,536985,3736845,14SNC
4,5,19.3328943581821,4.57490276191496,34,315054.046020418,505889.648256186,3835,249805,315045,505875,34NCL
5,6,115.619006364017,63.1080885488063,50,430311.887072478,6998381.2917067,7677,50054,430305,6998385,50VMR
6,5,15.1935536079652,12.4217967377052,33,521036.779760423,1373203.44532142,10701,254226,521025,1373205,33PWP
7,3,-78.197456907312,36.4513560887609,17,751169.08680861,4037663.6958484,18372,175411,751155,4037655,17SQA
8,2,133.364597333927,-25.4713425572328,53,335592.965586219,-2818149.75100743,4520,377272,335595,-2818155,53JLM
9,3,114.806719288158,44.0313007154011,50,324246.622271308,4877688.03095597,4142,120744,324255,4877685,50TLP
10,1,58.3342892132568,43.3070503021754,40,608213.199318237,4795777.4671119,13607,146808,608205,4795785,40TFP
11,5,33.6826632486904,58.5296417050283,36,539753.705649453,6487881.27094187,11325,47071,539745,6487875,36VWK
12,4,128.34991259126,-19.7120664930397,52,431873.530936157,-2179749.46256616,7729,345992,431865,-2179755,52KDD
13,6,48.7769761766772,31.7549016766466,39,289443.129891683,3515419.31154179,2982,186153,289455,3515415,39STR
14,2,132.987273766129,-15.6978615561924,53,284296.504151295,-1736540.36294926,2810,341218,284295,-1736535,53LKC
15,6,-65.7245807300227,-13.7647063534844,20,205374.369266344,-1523371.94106361,179,357447,205365,-1523385,20LKK
16,1,-95.9907004647714,51.3038417006845,14,709758.201693991,5687915.10061259,16992,113736,709755,5687925,14UQB
17,2,-66.0409122831665,-34.5025355050592,19,771689.248033726,-3821854.55981387,19056,437395,771675,-3821865,19HGB
